新竹市就業者之教育程度                           ,,,,,,,,,,,,
                                                                                                      單位：千人,,,,,,,,,,,,
年別,總    計,,國小及以下,,國   中,,高中膱,,專   科,,大學及以上,
,人數,%,人數,%,人數,%,人數,%,人數,%,人數,%
91年,159,100.00 ,19,12.36,22,13.90,54,34.02,31,19.79,32,19.94
92年,163,100.00 ,16,10.23,23,13.77,57,34.60,32,19.59,36,21.82
93年,168,100.00 ,15,9.24,23,13.63,58,34.59,33,19.55,39,22.99
94年,174,100.00 ,15,8.37,23,13.34,58,33.46,34,19.38,44,25.44
95年,177,100.00 ,15,8.09,23,13.16,58,32.83,33,18.83,48,27.09
96年,180,100.00 ,14,7.88,21,11.77,59,33.08,33,18.31,52,28.95
97年,183,100.00,13,7.06,20,10.87,59,32.11,33,18.05,58,31.91
98年,183,100.00 ,11,5.82,19,10.29,57,30.88,33,18.27,64,34.74
99年,190,100.00 ,10,5.47,19,9.99,57,30.11,34,18.06,69,36.36
100年,195,100.00 ,10,5.13,19,9.74,58,29.74,33,16.92,75,38.46
101年,195,100.00 ,9,4.73,19,9.54,61,30.97,31,16.08,76,38.67
102年,198,100.00 ,9,4.41,18,8.88,61,30.65,32,16.26,79,39.79
103年,201,100.00 ,7,3.60,17,8.50,61,30.53,33,16.63,82,40.73
104年,203,100.00 ,6,3.04,16,7.91,63,30.85,33,16.28,86,41.93
105年,206,100.00 ,5,2.64,16,7.55,62,30.09,33,16.03,90,43.69
106年,208,100.00 ,5,2.44,16,7.63,63,30.03,34,16.15,91,43.75
資料來源：行政院主計總處。,,,,,,,,,,,,
